Ticker,Avg Return,Expected Return,Beta,20-Year Risk adj,Market Cap,Sector
AA,0.014128945833408846,0.185106,2.458,10.761598141146635,6970557440,Basic Materials
AACG,0.3131908427750425,0.10325399999999998,1.022,3.6450057535192584,25620706,Consumer Defensive
AAL,-0.12044421787376136,0.130386,1.498,5.46752592686006,7400694784,Industrials
AAME,-0.07598078453934909,0.068712,0.416,0.8794865038833292,35087656,Financial Services
AAOI,-0.09632729936052542,0.16014,2.02,7.968353253805045,331495328,Technology
AAON,0.20602008151970552,0.090315,0.795,2.79896640745764,7124257792,Industrials
AAP,-0.06832243725138698,0.11453999999999999,1.22,4.3740778352671,3738318336,Consumer Cyclical
AAPL,0.2656131908666892,0.11624999999999999,1.25,4.487009290541407,3283030900736,Technology
AAT,-0.026903423680023075,0.11892899999999999,1.297,4.665967671909335,1662522752,Real Estate
AB,0.1004547904964832,0.116934,1.262,4.532453509014298,3857993984,Financial Services
ABBV,0.16049609019960975,0.078174,0.582,1.8799652010142751,298414374912,Healthcare
ABCB,0.09770419167460287,0.105819,1.067,3.809265883077347,3393168128,Financial Services
ABEO,-0.36610780596118286,0.131355,1.515,5.538544377250346,171633712,Healthcare
ABEV,-0.09076424671206818,0.07486799999999999,0.524,1.5757963805470165,33030776832,Consumer Defensive
ABG,0.13169005661902333,0.11300099999999999,1.193,4.273197045903119,4561741312,Consumer Cyclical
ABIO,-0.3242952924346706,0.09977699999999999,0.961,3.4220202281356986,52225560,Healthcare
ABM,0.08335138983563106,0.11111999999999998,1.16,4.150746083871495,3143828736,Industrials
ABR,0.15048824502741587,0.15586499999999998,1.945,7.56175911987689,2680683520,Real Estate
ABT,0.11617766977889055,0.08712299999999999,0.739,2.5766546399130252,182052274176,Healthcare
ABTS,-0.36904265783414447,0.21890700000000002,3.051,16.059638051140546,18488444,Financial Services
ABUS,-0.135787418569851,0.157575,1.975,7.722198838159697,585022656,Healthcare
ABVC,-0.5798538002298264,0.085584,0.712,2.465794189900943,8880971,Healthcare
ACAD,-0.032673007162813184,0.067914,0.402,0.7707733875207516,2704667904,Healthcare
ACCO,-0.01306823008063751,0.13682699999999998,1.611,5.950724406504605,448550176,Industrials
ACGL,0.18107317362047803,0.07908599999999999,0.598,1.9581658255520429,37932404736,Financial Services
ACHC,0.037137290732191186,0.12041099999999999,1.323,4.76615519514587,6312384000,Healthcare
ACHV,-0.5224631194527287,0.12177899999999998,1.347,4.859457777739018,159343632,Healthcare
ACIC,-0.04600341766240934,0.031776,-0.232,6.647790367310738,504112384,Financial Services
ACIW,0.07652710039937438,0.113115,1.195,4.280647008796552,4059440128,Technology
ACLS,0.33420648100476313,0.132552,1.536,5.627063626523492,4535681024,Technology
ACM,0.10754070354018785,0.11396999999999999,1.21,4.336635622745924,12100329472,Industrials
ACN,0.15595271578122727,0.113799,1.207,4.325421459528288,189913366528,Technology
ACNB,0.08245506391782942,0.07999799999999999,0.614,2.0343167654828562,293163808,Financial Services
ACNT,-0.049054391552249665,0.08718,0.74,2.580709430393266,98561976,Basic Materials
ACP,0.00023341500927354097,0.101658,0.994,3.5427765213541638,348615904,Financial Services
ACR,-0.10998572386235361,0.15974099999999997,2.013,7.929621040794507,101632728,Real Estate
ACRE,0.0035667734486484193,0.129531,1.483,5.405325774783615,363560352,Real Estate
ACST,-0.401543495351522,0.13705499999999998,1.615,5.968331220370421,27916218,Healthcare
ACTG,-0.10723240176686621,0.07486799999999999,0.524,1.5757963805470165,490107808,Industrials
ACU,0.09303486814445594,0.084843,0.699,2.411384993708654,126554576,Consumer Defensive
ADBE,0.22410259337649707,0.11733299999999999,1.269,4.559038583823464,244948484096,Technology
ADC,0.1104118551876967,0.07709099999999999,0.563,1.7841525921205619,6225047040,Real Estate
ADD,-0.47848145987279056,0.16868999999999998,2.17,8.83960573365183,4878134,Communication Services
ADEA,0.013370648679361885,0.11009399999999998,1.142,4.0842938604722345,1183811328,Technology
ADI,0.17316796913704025,0.109068,1.124,4.0180456419845685,112482467840,Technology
ADM,0.055084432030369834,0.08735099999999998,0.743,2.5928532293678925,29967888384,Consumer Defensive
ADMA,0.016466606217382163,0.072588,0.484,1.3419962277716064,2538308352,Healthcare
ADP,0.14868190695001537,0.090087,0.791,2.7833755000154063,97124753408,Industrials
ADSK,0.1588269000285354,0.12656699999999999,1.431,5.192915848588667,52515229696,Technology
ADTN,-0.12477489815544818,0.11294399999999999,1.192,4.269473365337025,394791296,Technology
ADUS,0.17702152786590064,0.10336799999999999,1.024,3.652304301191233,1869651968,Healthcare
ADX,0.12184638929916969,0.09892199999999998,0.946,3.366963366175101,2676524288,Financial Services
AE,-0.06801202910660331,0.090315,0.795,2.79896640745764,71622088,Energy
AEE,0.08469735522108524,0.070992,0.456,1.1630654087455745,18917570560,Utilities
AEF,-0.011456517946866196,0.101031,0.983,3.5025688751560278,267969520,Financial Services
AEG,0.010617215599571406,0.11026499999999999,1.145,4.09535429451755,10991459328,Financial Services
AEHL,-0.38340274167916477,0.11767499999999999,1.275,4.581871577735493,17820482,Industrials
AEHR,0.17849449079789315,0.159684,2.012,7.924101285501702,321242304,Technology
AEIS,0.19464749457378794,0.13226699999999997,1.531,5.605907087518168,4031455488,Industrials
